corpus,experiment,condition,class,fold,metric,value
sep28k,clean_baseline,clean,Interjection,0,brier,0.1430028865686999
sep28k,clean_val_tuned,clean,Interjection,0,brier,0.1430028865686999
sep28k,clean_mlp_baseline,clean,Interjection,0,brier,0.13712693750858307
sep28k,clean_majority_vote,clean,Interjection,0,brier,0.1289220029244981
sep28k,deployment_fixed,opus_16k,Block,0,f1,0.6121883656509696
sep28k,deployment_clean_val,opus_16k,Block,0,f1,0.6531483457844184
sep28k,deployment_deg_val,opus_16k,Block,0,f1,0.6526315789473685
sep28k,matched_retraining_fixed,opus_16k,Block,0,f1,0.6103092783505155
sep28k,matched_retraining_val,opus_16k,Block,0,f1,0.6523955147808359
sep28k,majority_vote_fixed,opus_16k,Block,0,f1,0.3250270855904659
sep28k,mlp_head_degraded,opus_16k,Block,0,f1,0.6128571428571429
sep28k,deployment_fixed,opus_16k,Block,0,precision,0.6030013642564802
sep28k,deployment_clean_val,opus_16k,Block,0,precision,0.5262252794496991
sep28k,deployment_deg_val,opus_16k,Block,0,precision,0.5214465937762826
sep28k,matched_retraining_fixed,opus_16k,Block,0,precision,0.5967741935483871
sep28k,matched_retraining_val,opus_16k,Block,0,precision,0.5115907274180655
sep28k,majority_vote_fixed,opus_16k,Block,0,precision,0.20463847203274216
sep28k,mlp_head_degraded,opus_16k,Block,0,precision,0.6226415094339622
sep28k,deployment_fixed,opus_16k,Block,0,recall,0.6216596343178622
sep28k,deployment_clean_val,opus_16k,Block,0,recall,0.8607594936708861
sep28k,deployment_deg_val,opus_16k,Block,0,recall,0.8720112517580872
sep28k,matched_retraining_fixed,opus_16k,Block,0,recall,0.6244725738396625
sep28k,matched_retraining_val,opus_16k,Block,0,recall,0.90014064697609
sep28k,majority_vote_fixed,opus_16k,Block,0,recall,0.7894736842105263
sep28k,mlp_head_degraded,opus_16k,Block,0,recall,0.6033755274261603
sep28k,deployment_fixed,opus_16k,Block,0,auc,0.7150451130317571
