condition,class,clean_f1,degraded_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,rel_delta_pct,clean_auc,degraded_auc,delta_auc,delta_auc_ci_low,delta_auc_ci_high,p_val_raw,p_val_holm,rho,delta
denoise,SoundRep,0.658818913086129,0.6256619144602852,-0.03315699862584387,-0.04587900536382471,-0.021686458540811335,-5.032793984393276,0.8442656884908766,0.82007227964693,-0.024193408843946607,-0.03014963271213366,-0.018065212697140027,0.001,0.005,0.0,0.0
denoise,WordRep,0.6447193990278391,0.6262715612560814,-0.018447837771757736,-0.029937267781871585,-0.007444753654872175,-2.861374700307591,0.8513323333333334,0.84283075,-0.008501583333333396,-0.014627397582843751,-0.0018408688725835252,0.004,0.005,0.0,0.0
denoise,Interjection,0.756299938537185,0.742792355037253,-0.013507583499931974,-0.021920449249730946,-0.005269268999564556,-1.7860088057203838,0.8656133532445605,0.8605590834564292,-0.005054269788131283,-0.009488150080535735,-0.0011794981077112056,0.001,0.005,0.0,0.0
full_chain_novad,Block,0.6377675426713628,0.538711776187378,-0.09905576648398484,-0.11661879558987888,-0.08222042531327997,-15.531641210381819,0.7242523802631662,0.6971052979340637,-0.027147082329102457,-0.03484062600354935,-0.019511550762610096,0.001,0.005,0.007461870243538844,0.0
full_chain_novad,Prolongation,0.6238406046032291,0.5850048685491723,-0.03883573605405677,-0.05400784439025058,-0.024413184722266414,-6.225265839942691,0.7889036355449687,0.7768078006846744,-0.012095834860294308,-0.01636724458411,-0.007524795608884411,0.001,0.005,0.007461870243538844,0.0
full_chain_novad,SoundRep,0.658818913086129,0.6264670174018616,-0.03235189568426744,-0.044126288121623655,-0.020680174628538456,-4.9105900030587,0.8442656884908766,0.8205412080050891,-0.023724480485787458,-0.030196833134238037,-0.01723613109985094,0.001,0.005,0.007461870243538844,0.0
full_chain_novad,WordRep,0.6447193990278391,0.6219298245614036,-0.02278957446643559,-0.03564808890255941,-0.01092910405264641,-3.5348051417096467,0.8513323333333334,0.8419104166666667,-0.009421916666666696,-0.015605988508296576,-0.002404084845500597,0.001,0.005,0.007461870243538844,0.0
full_chain_novad,Interjection,0.756299938537185,0.7461822858061405,-0.01011765273104448,-0.0184923699331553,-0.0017738980004988224,-1.33778309576671,0.8656133532445605,0.8607821113032968,-0.004831241941263609,-0.009511373464515107,-0.0006717686551969478,0.016,0.016,0.007461870243538844,0.0
full_chain,Block,0.6377675426713628,0.46462264150943394,-0.17314490116192888,-0.19453577413979425,-0.15233544874745236,-27.14859091710618,0.7242523802631662,0.6199130960097161,-0.10433928425345007,-0.1162618010499122,-0.09219408883275457,0.001,0.005,0.7213975738458956,0.47307
full_chain,Prolongation,0.6238406046032291,0.5933948863636364,-0.030445718239592745,-0.04252557325475134,-0.01731630479055299,-4.880368160542648,0.7889036355449687,0.7565214731672,-0.0323821623777687,-0.04027857130228447,-0.02498494560543112,0.001,0.005,0.7213975738458956,0.47307
