condition,class,clean_f1,degraded_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,clean_auc,degraded_auc,delta_auc,delta_auc_ci_low,delta_auc_ci_high,p_val_raw,p_val_holm
opus_16k_voip,Interjection,0.7574756434140903,0.7570018545632309,-0.0003699811629382095,-0.004849083765978817,0.0041232540736742705,0.8660390990983544,0.8664652293995496,0.00020060741324311225,-0.0014340280461530742,0.0018851702312440235,0.834,1.0
vad_agg3,Block,0.6430790485116376,0.5154236705857327,-0.12557493917014365,-0.14584587094888352,-0.1073779710489842,0.7273958425484379,0.6562357164528929,-0.07054870366168614,-0.07998210019298248,-0.06135978274135122,0.001,0.005
vad_agg3,Prolongation,0.6177572727495527,0.5956353210075707,-0.021826722828840885,-0.0330645496706583,-0.010851004717312167,0.7850340714940104,0.7678692315932752,-0.016896046470779823,-0.024007496503598808,-0.009984246045894629,0.001,0.004
vad_agg3,SoundRep,0.6581753711814591,0.6184906329146036,-0.04046574728519077,-0.05263053309378876,-0.028377779657450527,0.8460981041623323,0.8090029660367103,-0.03673126611538548,-0.044665957850598535,-0.02904937675743579,0.001,0.003
vad_agg3,WordRep,0.6399327622776658,0.599647863632221,-0.04038216514920596,-0.05557681297770993,-0.02636085735168113,0.8513496583822857,0.8431085499042819,-0.007945730440377581,-0.014362829935719676,-0.0012184731372595376,0.001,0.002
vad_agg3,Interjection,0.7574756434140903,0.7505925031113468,-0.007179116818434756,-0.014896917521405045,0.00045575210775569046,0.8660390990983544,0.8587407926918733,-0.007480044656545389,-0.011722101587612676,-0.0036975464159321684,0.066,0.066
vad_zero,Block,0.6430790485116376,0.5102068618308675,-0.12975596928075067,-0.14866783326422509,-0.11056301663127889,0.7273958425484379,0.6387216207043581,-0.08867457317398697,-0.1000730343323032,-0.07663789605078125,0.001,0.005
vad_zero,Prolongation,0.6177572727495527,0.5556545761333094,-0.06518579755111328,-0.0821013523884905,-0.04902518717205199,0.7850340714940104,0.7218636298916177,-0.06432757110909705,-0.075804441644322,-0.05237418793266093,0.001,0.004
vad_zero,SoundRep,0.6581753711814591,0.5626187526901872,-0.0953244499545639,-0.11671083368240352,-0.07607905584911759,0.8460981041623323,0.7803671031510822,-0.06760496343825816,-0.0798084326130408,-0.05473377693995281,0.001,0.003
vad_zero,WordRep,0.6399327622776658,0.5976453132005728,-0.03902832162827585,-0.055937961249883275,-0.02244434528847326,0.8513496583822857,0.811847113762975,-0.04108808039543523,-0.050474824618538784,-0.031492135837060314,0.001,0.002
vad_zero,Interjection,0.7574756434140903,0.7105738382002437,-0.045369115123744905,-0.056224438128559,-0.03375510111549631,0.8660390990983544,0.837415241038739,-0.027648418883926766,-0.033327789651923914,-0.021787853116337467,0.001,0.001
denoise,Block,0.6430790485116376,0.5264382330674178,-0.11635476515543845,-0.13611891787479427,-0.09875932203653873,0.7273958425484379,0.6904850777388402,-0.03690991744530883,-0.04418978372112921,-0.029286760662535403,0.001,0.005
denoise,Prolongation,0.6177572727495527,0.5828669304521675,-0.03592271767227212,-0.05143840904608152,-0.021318343233346495,0.7850340714940104,0.773573413164244,-0.012756311822952353,-0.01771380375869927,-0.007483694912160428,0.001,0.004
denoise,SoundRep,0.6581753711814591,0.6236944924912644,-0.034915059704028716,-0.0471824061313965,-0.023789170973188035,0.8460981041623323,0.820168776239432,-0.026888279798679728,-0.03297490480914688,-0.020935026039826377,0.001,0.003
denoise,WordRep,0.6399327622776658,0.6264438394648911,-0.014106709592125125,-0.02815869362715829,-0.0010128596662652733,0.8513496583822857,0.8453297450921026,-0.006967218492957784,-0.013493068310332892,-0.0006574491434698632,0.038,0.038
denoise,Interjection,0.7574756434140903,0.7420424304305151,-0.015825489627296078,-0.023200792289798815,-0.00856670864698025,0.8660390990983544,0.8611224255170431,-0.005425912730685493,-0.0086531921468385,-0.001957444402235767,0.001,0.002
full_chain_novad,Block,0.6430790485116376,0.5308399911579574,-0.11173423463888892,-0.1302484093374986,-0.09497636262886827,0.7273958425484379,0.6961578906284014,-0.031589124053199254,-0.038895378193287554,-0.024911512456710774,0.001,0.005
full_chain_novad,Prolongation,0.6177572727495527,0.5768685675250103,-0.04186965699488798,-0.05748598106363331,-0.027045003381223,0.7850340714940104,0.772108658992838,-0.01355018104567337,-0.019231656311621513,-0.008316245885683506,0.001,0.004
full_chain_novad,SoundRep,0.6581753711814591,0.6250353701966518,-0.03366068323018475,-0.04641446995207845,-0.02260137359432324,0.8460981041623323,0.8225041265920179,-0.02451465267984561,-0.031081662289423932,-0.018405093135193097,0.001,0.003
full_chain_novad,WordRep,0.6399327622776658,0.6275764972648723,-0.0135658833022538,-0.027264627074806383,-0.00015355140922131589,0.8513496583822857,0.8439722916162815,-0.00802256773214079,-0.014558605495960992,-0.0019574139285221982,0.046,0.046
full_chain_novad,Interjection,0.7574756434140903,0.7499717523568228,-0.007862282942447679,-0.015221752960821847,-0.000769618603999667,0.8660390990983544,0.8619690463901358,-0.0045465640908207506,-0.008051518345993278,-0.0006164521491463965,0.028,0.056
full_chain,Block,0.6430790485116376,0.4523460622715544,-0.18526713335832817,-0.20975384839081276,-0.16196653957821053,0.7273958425484379,0.6232277327211453,-0.10347928808901129,-0.11491585805755661,-0.09239247419505481,0.001,0.005
full_chain,Prolongation,0.6177572727495527,0.5768944752572626,-0.04060416446669505,-0.05339141970332835,-0.027830784059589407,0.7850340714940104,0.7509596594197006,-0.03340185753504332,-0.0418629642937854,-0.02552684689374912,0.001,0.004
full_chain,SoundRep,0.6581753711814591,0.5818396223266546,-0.07781112595691934,-0.09278117121538296,-0.06479128019938435,0.8460981041623323,0.7696390367092205,-0.0766066562650014,-0.08764684868007713,-0.06608198956317564,0.001,0.003
full_chain,WordRep,0.6399327622776658,0.5755128337707339,-0.06512709826168685,-0.08121195403919745,-0.04928555952331223,0.8513496583822857,0.8208891762624795,-0.03098515743723813,-0.03901471785638893,-0.02273115219522678,0.001,0.002
full_chain,Interjection,0.7574756434140903,0.7401543661349214,-0.017343617079230718,-0.02700157205449201,-0.007628265066575061,0.8660390990983544,0.8471211456383874,-0.01945781224912423,-0.024400834635690545,-0.014534027172334691,0.002,0.002
random_del_30pct,Block,0.6430790485116376,0.635203918796398,-0.007279583111016285,-0.017823567128418136,0.002463650111487702,0.7273958425484379,0.6965488569321259,-0.03146874550765134,-0.03806045091049848,-0.025425096413692144,0.158,0.158
random_del_30pct,Prolongation,0.6177572727495527,0.5611087506358798,-0.05627315087582279,-0.0727028018880431,-0.04171760709878986,0.7850340714940104,0.7572544110778994,-0.027597616083929383,-0.034805837991315966,-0.02124866826421295,0.001,0.005
random_del_30pct,SoundRep,0.6581753711814591,0.6290957609324639,-0.030435442092247893,-0.04176832658465147,-0.019350776086558493,0.8460981041623323,0.8174047721112577,-0.028718354861782133,-0.035359070680604475,-0.022167614738917683,0.001,0.004
random_del_30pct,WordRep,0.6399327622776658,0.6091584447947687,-0.03137282230545262,-0.04355033006271077,-0.01969902061615201,0.8513496583822857,0.8221405296449777,-0.0288440325065494,-0.03561358325123179,-0.022063305926124346,0.001,0.003
random_del_30pct,Interjection,0.7574756434140903,0.7412568444729962,-0.016215159138778253,-0.02497239937350073,-0.007024063439745468,0.8660390990983544,0.8469419801695881,-0.018634894365796833,-0.02418033895718056,-0.013123318352580344,0.002,0.004
