setting,model,class,f1_mean,f1_fold_sd,f1_ci_low,f1_ci_high,auc_mean,auc_fold_sd,auc_ci_low,auc_ci_high,gain_vs_z,gain_p_value,floor_closed_pct
vad_agg3,z_only,SoundRep,0.5583244876505173,0.021871289747463794,0.531118083032036,0.5842203567780918,0.7868113067091663,0.012739751319634517,0.7739669686824415,0.8000970093565147,,,
vad_agg3,z_only,WordRep,0.6113084116659678,0.0316495002648235,0.5913621106502852,0.6341615994973336,0.8474540305234477,0.015421407521229806,0.8375900123444167,0.8577167333355356,,,
vad_agg3,z_only,Interjection,0.7551889237353928,0.015379862978808086,0.7382440912822034,0.7722160717690335,0.8571929557136947,0.01084460731463096,0.8479582741965237,0.8660813540185405,,,
vad_agg3,g_only,Block,0.5484436506504995,0.025707738182937503,0.5286643832335801,0.5696531885346411,0.572267963932054,0.01296035756344107,0.5584283919041684,0.583384559954145,,,
vad_agg3,g_only,Prolongation,0.42900414199587067,0.027590662787416686,0.4109360878396183,0.4503878236510294,0.5429382807325527,0.019062862689988094,0.5261701711790833,0.5557398800288949,,,
vad_agg3,g_only,SoundRep,0.38498906084905027,0.021215518550757494,0.35977673913168806,0.4134251721902894,0.5981821471581935,0.020688167406827086,0.5768564304427404,0.6155609358229142,,,
vad_agg3,g_only,WordRep,0.3515739160431612,0.025571462918349202,0.3312863813553316,0.3741520316688313,0.5608592380278576,0.014272135937300517,0.5484904534527388,0.5775513273854577,,,
vad_agg3,g_only,Interjection,0.4763581350998626,0.04353425649399367,0.45745313367611573,0.5008197680886186,0.5290927812668033,0.012203995021353862,0.5171160775885582,0.5444572269531034,,,
vad_agg3,z_and_g,Block,0.6016803343528314,0.024001087065435918,0.5842679960351596,0.6200773493621013,0.6525785662553995,0.012056200316539485,0.64077949595852,0.6639471831632543,-0.00023858672140062432,0.7875793063819934,-0.630665050481297
vad_agg3,z_and_g,Prolongation,0.6037710972209698,0.036781333621676154,0.5836639519270383,0.630016407606816,0.7507500709968579,0.016817176237882273,0.741285676129755,0.7658707329500875,0.0009130156646095066,0.4250208830718188,4.463648050873928
vad_agg3,z_and_g,SoundRep,0.561640017064654,0.01835832626282712,0.5362499127719181,0.5875352365283062,0.7883930182545772,0.013982879232395032,0.7756021679783767,0.8019803797092856,0.0033155294141367308,0.12296907026214667,9.395443443388741
vad_agg3,z_and_g,WordRep,0.6108628877914711,0.03646728232534236,0.5898076738598542,0.6342136305442532,0.8478820317842652,0.015657491253862628,0.8382203131000747,0.858103821014308,-0.0004455238744968115,0.8510494527520932,9.4171596668058
vad_agg3,z_and_g,Interjection,0.7552514559407935,0.01830121419957921,0.7385691573776794,0.7722365804290121,0.8569398184395913,0.011242785086045023,0.8477804488121122,0.8659327069128337,6.253220540064497e-05,0.9698545184792065,22.707295362841915
