setting,model,class,fold,f1,auc
vad_agg3,z_only,SoundRep,1,0.5960825833774483,0.8072667438502518
vad_agg3,z_only,SoundRep,2,0.5547368421052632,0.7828077547591802
vad_agg3,z_only,SoundRep,3,0.5429033998920669,0.7794878153553709
vad_agg3,z_only,SoundRep,4,0.5434140578854105,0.7899754474274776
vad_agg3,z_only,WordRep,0,0.5579514824797843,0.8201858486341245
vad_agg3,z_only,WordRep,1,0.6411889596602972,0.8581365802680869
vad_agg3,z_only,WordRep,2,0.6118721461187214,0.854109945169219
vad_agg3,z_only,WordRep,3,0.6242038216560509,0.8524812694442815
vad_agg3,z_only,WordRep,4,0.6213256484149856,0.852356509101527
vad_agg3,z_only,Interjection,0,0.7462800457840519,0.8559190943728596
vad_agg3,z_only,Interjection,1,0.7812061711079944,0.8748373488306616
vad_agg3,z_only,Interjection,2,0.7437888198757764,0.8523167416578459
vad_agg3,z_only,Interjection,3,0.7476635514018691,0.8456304049232279
vad_agg3,z_only,Interjection,4,0.7570060305072721,0.8572611887838788
vad_agg3,g_only,Block,0,0.5662576687116564,0.5928574903167355
vad_agg3,g_only,Block,1,0.5339280025485823,0.5671186938770498
vad_agg3,g_only,Block,2,0.5778676683039584,0.570822170584758
vad_agg3,g_only,Block,3,0.5131832797427652,0.5574788431206018
vad_agg3,g_only,Block,4,0.5509816339455351,0.5730626217611252
vad_agg3,g_only,Prolongation,0,0.4492753623188406,0.5205422799904303
vad_agg3,g_only,Prolongation,1,0.3897216274089936,0.5323173583338797
vad_agg3,g_only,Prolongation,2,0.4607329842931937,0.5454916882073648
vad_agg3,g_only,Prolongation,3,0.4213505863323898,0.5445933432605119
vad_agg3,g_only,Prolongation,4,0.4239401496259352,0.5717467338705763
vad_agg3,g_only,SoundRep,0,0.38695838695838697,0.5801127634578116
vad_agg3,g_only,SoundRep,1,0.38939670932358317,0.5945141212709295
vad_agg3,g_only,SoundRep,2,0.415002038320424,0.6273313885988115
vad_agg3,g_only,SoundRep,3,0.3564453125,0.5787457172680994
vad_agg3,g_only,SoundRep,4,0.37714285714285717,0.6102067451953155
vad_agg3,g_only,WordRep,0,0.3191489361702128,0.5753906055630194
vad_agg3,g_only,WordRep,1,0.3799310608962084,0.5513798349001943
vad_agg3,g_only,WordRep,2,0.3311926605504587,0.5609942214974475
vad_agg3,g_only,WordRep,3,0.3590121636564689,0.5424498655047318
vad_agg3,g_only,WordRep,4,0.36858475894245724,0.5740816626738956
vad_agg3,g_only,Interjection,0,0.46239944036376357,0.5431783061563928
vad_agg3,g_only,Interjection,1,0.4927629462849791,0.5204629365331832
vad_agg3,g_only,Interjection,2,0.4116032928263426,0.5157827619803965
vad_agg3,g_only,Interjection,3,0.5296776137390781,0.540598598844392
vad_agg3,g_only,Interjection,4,0.48534738228514984,0.5254413028196516
vad_agg3,z_and_g,Block,0,0.5757675800594255,0.6445318438030148
vad_agg3,z_and_g,Block,1,0.596379803112099,0.643891513469508
vad_agg3,z_and_g,Block,2,0.6153372343701878,0.6535656025706132
vad_agg3,z_and_g,Block,3,0.6355983162958508,0.6730264953894687
vad_agg3,z_and_g,Block,4,0.5853187379265937,0.647877376044393
vad_agg3,z_and_g,Prolongation,0,0.6421052631578947,0.7509467431406374
vad_agg3,z_and_g,Prolongation,1,0.5692527367920038,0.7384964706396555
vad_agg3,z_and_g,Prolongation,2,0.5807504078303426,0.7329436072286093
vad_agg3,z_and_g,Prolongation,3,0.6452802359882006,0.7761244443877278
vad_agg3,z_and_g,Prolongation,4,0.5814668423364076,0.7552390895876597
vad_agg3,z_and_g,SoundRep,0,0.5571936959837316,0.7754726927672735
vad_agg3,z_and_g,SoundRep,1,0.5937334041423261,0.8109954364953411
vad_agg3,z_and_g,SoundRep,2,0.5575820739968733,0.7848160631319605
vad_agg3,z_and_g,SoundRep,3,0.5484913793103449,0.7793051961392637
vad_agg3,z_and_g,SoundRep,4,0.5511995318899942,0.7913757027390468
vad_agg3,z_and_g,WordRep,0,0.5491251682368775,0.8201734089665124
vad_agg3,z_and_g,WordRep,1,0.644785600847009,0.8583288385283447
vad_agg3,z_and_g,WordRep,2,0.6128822381262199,0.8550759831726225
vad_agg3,z_and_g,WordRep,3,0.626951995373048,0.8537192989312022
vad_agg3,z_and_g,WordRep,4,0.620569436374201,0.8521126293226446
vad_agg3,z_and_g,Interjection,0,0.7448433919022154,0.8541363080516355
vad_agg3,z_and_g,Interjection,1,0.7862648913805186,0.8751434013596977
vad_agg3,z_and_g,Interjection,2,0.7443667443667443,0.8525440949313987
vad_agg3,z_and_g,Interjection,3,0.7431850789096126,0.8448611505436576
vad_agg3,z_and_g,Interjection,4,0.7575971731448763,0.8580141373115676
